player,bowler_score,first_inning_score,second_inning_score,home_match_score,away_match_score,strong_opponent_score,weak_opponent_score,current_year_score,last_five_year_score
J2,0#1#61.00#4.35#84.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1
X2,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
K3,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
M4,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
A3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
D4,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0
J3,0#1#61.00#4.35#84.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1
X3,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
M3,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
A4,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
K5,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
D3,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0
J4,0#1#61.00#4.35#84.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1,0#0#0#5.30#0#0#0#0,0#1#8.00#2.00#24.0#0#0#1
X4,18#53#30.26#4.40#41.2#0#0#3,12#28#31.46#4.25#44.3#0#0#3,6#25#28.92#4.59#37.8#0#0#3,5#26#30.92#4.72#39.3#0#0#3,12#26#28.03#4.12#40.7#0#0#3,0#4#37.25#4.96#45.0#0#0#3,9#14#18.42#3.27#33.7#0#0#3,5#8#24.37#4.19#34.8#0#0#3,4#14#37.35#4.88#45.9#0#0#3
A5,1#3#40.00#7.74#31.0#0#0#3,0#0#0#9.00#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,0#0#0#0#0#0#0#0,1#3#40.00#7.74#31.0#0#0#3,0#0#9.00#0#0#0#0#0,1#3#22.00#6.94#19.0#0#0#3,1#3#40.00#7.74#31.0#0#0#3,0#0#0#0#0#0#0#0
M5,10#13#31.07#4.80#38.7#0#0#3,8#5#53.20#5.01#63.6#0#0#2,2#8#17.25#4.45#23.2#0#0#3,4#5#18.60#3.57#31.2#0#0#3,6#8#38.87#5.36#43.5#0#0#2,0#0#0#7.60#0#0#0#0,4#2#26.00#3.25#48.0#0#0#1,10#13#25.23#4.43#34.1#0#0#3,0#0#0#7.60#0#0#0#0
K4,1#2#111.50#5.86#114.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,0#1#160.00#8.00#120.0#0#0#1,1#1#63.00#3.50#108.0#0#0#1,1#2#111.50#5.86#114.0#0#0#1,0#0#0#0#0#0#0#0#
D2,1#3#39.66#4.76#50.0#0#0#1,0#2#24.00#4.36#33.0#0#0#1,1#1#71.00#5.07#84.0#0#0#1,0#1#24.00#6.00#24.0#0#0#1,1#2#47.50#4.52#63.0#0#0#1,1#2#52.00#4.72#66.0#0#0#1,0#1#15.00#5.00#18.0#0#0#1,1#3#39.66#4.76#50.0#0#0#1,0#0#0#0#0#0#0#0
